status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
pending,Detecting and characterizing semantic inconsistencies in ported code,Baishakhi Ray; Miryung Kim; Suzette Person; Neha Rungta,2013,,10.1109/ase.2013.6693095,https://openalex.org/W2136279823,,"Abstract—Adding similar features and bug fixes often requires porting program patches from reference implementations and adapting them to target implementations. Porting errors may result from faulty adaptations or inconsistent updates. This paper investigates (1) the types of porting errors found in practice, and (2) how to detect and characterize potential porting errors. Analyzing version histories, we define five categories of porting errors, including incorrect control- and data-flow, code redun-dancy, inconsistent identifier renamings, etc. Leveraging this categorization, we design a static control- and data-dependence analysis technique, SPA, to detect and characterize porting inconsistencies. Our evaluation on code from four open-source projects shows that SPA can detect porting inconsistencies with 65 % to 73 % precision and 90 % recall, and identify inconsistency","dblp, openalex, wos, scopus, ieee",human,,human,
pending,A literature review of fault diagnosis based on ensemble learning,Zhibao Mian; Xiaofei Deng; Xiaohui Dong; Yuzhu Tian; Tianya Cao; Kairan Chen; Tareq Al Jaber,2023,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2023.107357,https://openalex.org/W4388558401,,"The accuracy of fault diagnosis is an important indicator to ensure the reliability of key equipment systems. Ensemble learning integrates different weak learning methods to obtain stronger learning and has achieved remarkable results in the field of fault diagnosis. This paper reviews the recent research on ensemble learning from both technical and field application perspectives. The paper summarizes 87 journals in recent web of science and other academic resources, with a total of 209 papers. It summarizes 78 different ensemble learning based fault diagnosis methods, involving 18 public datasets and more than 20 different equipment systems. In detail, the paper summarizes the accuracy rates, fault classification types, fault datasets, used data signals, learners (traditional machine learning or deep learning-based learners), ensemble learning methods (bagging, boosting, stacking and other ensemble models) of these fault diagnosis models. The paper uses accuracy of fault diagnosis as the main evaluation metrics supplemented by generalization and imbalanced data processing ability to evaluate the performance of those ensemble learning methods. The discussion and evaluation of these methods lead to valuable research references in identifying and developing appropriate intelligent fault diagnosis models for various equipment. This paper also discusses and explores the technical challenges, lessons learned from the review and future development directions in the field of ensemble learning based fault diagnosis and intelligent maintenance.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Ranking code clones to support maintenance activities,"Ehsan, Osama; Khomh, Foutse; Zou, Ying; Qiu, Dong",2023,EMPIRICAL SOFTWARE ENGINEERING,10.1007/s10664-023-10292-0,https://www.webofscience.com/wos/woscc/full-record/WOS:000976646300001,,"Developers often reuse code fragments by copy-and-paste activities to speed up code delivery. Through this copy-and-paste process, they create duplicated code, also known as code clones. As the software system evolves, the number of clones can increase substantially and impact code quality negatively. Prior studies have shown that inconsistent changes on code clones can introduce bugs in a software system and clones that have experienced some specific evolutionary patterns being more at risk than others. As the number of clone copies increases in a software system. it becomes tedious and time-consuming for developers to track and maintain all code clones. Recent studies have proposed approaches to analyze the clone evolution history for better clone maintenance. However, these approaches do not provide a specified list of code clones at a granular level (i.e., commits) that can help developers prioritize their clone maintenance activities. It is important to track the code clone changes at the commit level, as developers can fix/refactor code clones early. In this paper, we leverage machine learning to develop clone ranking models that can help developers identify the most risky clones early on. Specifically, we detect clones from 52 projects (34 Java and 18 C) that have 534,672 commits and build 469,239 clone genealogies. We extract 28 features capturing the characteristics of code clones at commit level. We then train learning-to-rank (LtR), classification, and regression machine learning models to rank the code clones based on fault occurrence during their evolutionary history. Our comparison of machine learning approaches indicates that classification (for the probability of being faulty) and regression (for the proportion of faulty changes) perform well in ranking code clones. Multiple unique developers who change a code clone and the age of a code clone (in terms of the number of cloned code changes) have a significant effect on the risk of faults in the code clones. Our results can help developers identify the most risky code clones first and prioritize them for refactoring to prevent future faults.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Conflict‐aware optimal scheduling of prioritised code clone refactoring,Minhaz F. Zibran; Chanchal K. Roy,2013,IET Software,10.1049/iet-sen.2012.0058,https://openalex.org/W2120801660,,"Duplicated or similar source code, also known as code clones, are possible malicious ‘code smells’ that may need to be removed through refactoring to enhance maintainability. Among many potential refactoring opportunities, the choice and order of a set of refactoring activities may have distinguishable effect on the design/code quality measured in terms of software metrics. Moreover, there may be dependencies and conflicts among those refactorings of different priorities. Addressing all the conflicts, priorities and dependencies, a manual formulation of an optimal refactoring schedule is very expensive, if not impossible. Therefore an automated refactoring scheduler is necessary to ‘maximise benefit and minimise refactoring effort’. However, the estimation of the efforts required to perform code clone refactoring is a challenging task. This study makes two contributions. First, the authors propose an effort model for the estimation of code clone refactoring efforts. Second, the authors propose a constraint programming (CP) approach for conflict‐aware optimal scheduling of code clone refactoring. A qualitative evaluation of the effort model from the developers’ perspective suggests that the model is complete and useful for code clone refactoring effort estimation. The authors also quantitatively compared their refactoring scheduler with other well‐known scheduling techniques such as the genetic algorithm, greedy approaches and linear programming. The authors’ empirical study suggests that the proposed CP‐based approach outperforms other approaches they considered.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Automatic detection of bad smells in code: An experimental assessment.,Francesca Arcelli Fontana; Pietro Braione; Marco Zanoni,2012,The Journal of Object Technology,10.5381/jot.2012.11.2.a5,https://openalex.org/W2073792498,,"Code smells are structural characteristics of software that may indicate a code or design problem that makes software hard to evolve and maintain, and may trigger refactoring of code. Recent research is active in defining automatic detection tools to help humans in finding smells when code size becomes unmanageable for manual review. Since the definitions of code smells are informal and subjective, assessing how effective code smell detection tools are is both important and hard to achieve. This paper reviews the current panorama of the tools for automatic code smell detection. It defines research questions about the consistency of their responses, their ability to expose the regions of code most affected by structural decay, and the relevance of their responses with respect to future software evolution. It gives answers to them by analyzing the output of four representative code smell detectors applied to six different versions of GanttProject, an open source system written in Java. The results of these experiments cast light on what current code smell detection tools are able to do and what the relevant areas for further improvement are.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Cloning,Maria Hybinette; Richard Fujimoto,1997,,10.1145/268437.268523,https://openalex.org/W2080285072,,"testing what-if and alternative scenarios in parallel simulations is presented. Potential branches or choices can be specified interactively and interjected into the on-going simulation as decision points. Once a decision point is defined, different ""futures"" are computed by cloning the simulation, and executing the clones concurrently. A construct called virtual logical processes is introduced to avoid repeating common computations in different cloned simulations.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Deep learning similarities from different representations of source code,Michele Tufano; Cody Watson; Gabriele Bavota; Massimiliano Di Penta; Martin White; Denys Poshyvanyk,2018,,10.1145/3196398.3196431,https://openalex.org/W2883359218,,"Assessing the similarity between code components plays a pivotal role in a number of Software Engineering (SE) tasks, such as clone detection, impact analysis, refactoring, etc. Code similarity is generally measured by relying on manually defined or hand-crafted features, e.g., by analyzing the overlap among identifiers or comparing the Abstract Syntax Trees of two code components. These features represent a best guess at what SE researchers can utilize to exploit and reliably assess code similarity for a given task. Recent work has shown, when using a stream of identifiers to represent the code, that Deep Learning (DL) can effectively replace manual feature engineering for the task of clone detection. However, source code can be represented at different levels of abstraction: identifiers, Abstract Syntax Trees, Control Flow Graphs, and Bytecode. We conjecture that each code representation can provide a different, yet orthogonal view of the same code fragment, thus, enabling a more reliable detection of similarities in code. In this paper, we demonstrate how SE tasks can benefit from a DL-based approach, which can automatically learn code similarities from different representations.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,An Empirical Study of the Non-Determinism of ChatGPT in Code Generation,Shuyin Ouyang; Jie M. Zhang; Mark Harman; Meng Wang,2024,ACM Transactions on Software Engineering and Methodology,10.1145/3697010,https://openalex.org/W4402860127,,"There has been a recent explosion of research on Large Language Models (LLMs) for software engineering tasks, in particular code generation. However, results from LLMs can be highly unstable; non-deterministically returning very different code for the same prompt. Such non-determinism affects the correctness and consistency of the generated code, undermines developers’ trust in LLMs, and yields low reproducibility in LLM-based papers. Nevertheless, there is no work investigating how serious this non-determinism threat is. To fill this gap, this article conducts an empirical study on the non-determinism of ChatGPT in code generation. We chose to study ChatGPT because it is already highly prevalent in the code generation research literature. We report results from a study of 829 code generation problems across three code generation benchmarks (i.e., CodeContests, APPS and HumanEval) with three aspects of code similarities: semantic similarity, syntactic similarity, and structural similarity. Our results reveal that ChatGPT exhibits a high degree of non-determinism under the default setting: the ratio of coding tasks with zero equal test output across different requests is 75.76%, 51.00% and 47.56% for three different code generation datasets (i.e., CodeContests, APPS and HumanEval), respectively. In addition, we find that setting the temperature to 0 does not guarantee determinism in code generation, although it indeed brings less non-determinism than the default configuration ( temperature \(=\) 1). In order to put LLM-based research on firmer scientific foundations, researchers need to take into account non-determinism in drawing their conclusions.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Nonlinear perturbation theory extension of the Boltzmann code CLASS,Anton Chudaykin; Mikhail M. Ivanov; Oliver H. E. Philcox; Marko Simonović,2020,Physical review. D/Physical review. D.,10.1103/physrevd.102.063533,https://openalex.org/W3082555333,,"We present a new open-source code that calculates one-loop power spectra and cross spectra for matter fields and biased tracers in real and redshift space. These spectra incorporate all ingredients required for a direct application to data: nonlinear bias and redshift-space distortions, infrared resummation, counterterms, and the Alcock-Paczynski effect. Our code is based on the Boltzmann solver class and inherits its advantageous properties: user friendliness, ease of modification, high speed, and simple interface with other software. We present detailed descriptions of the theoretical model, the code structure, approximations, and accuracy tests. A typical end-to-end run for one cosmology takes 0.3 seconds, which is sufficient for Markov chain Monte Carlo parameter extraction. As an example, we apply the code to the Baryon Oscillation Spectroscopic Survey (BOSS) data and infer cosmological parameters from the shape of the galaxy power spectrum.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,,Miltiadis Allamanis; Earl T. Barr; Prémkumar Dévanbu; Charles Sutton,,Edinburgh Research Explorer (University of Edinburgh),,https://openalex.org/W2963935794,,"Research at the intersection of machine learning, programming languages, and software engineering has recently taken important steps in proposing learnable probabilistic models of source code that exploit the abundance of patterns of code. In this article, we survey this work. We contrast programming languages against natural languages and discuss how these similarities and differences drive the design of probabilistic models. We present a taxonomy based on the underlying design principles of each model and use it to navigate the literature. Then, we review how researchers have adapted these models to application areas and discuss cross-cutting and application-specific challenges and opportunities.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Automated Random Testing to Detect Specification-Code Inconsistencies,Yoonsik Cheon,2007,scholarworks - UTEP (The University of Texas at El Paso),,https://openalex.org/W2099724188,,"An interface specification language such as JML provides a means to document precisely the behavior of program modules such as Java classes, and it is being adopted by industry. However, few practical tools exist for programmers to assure the correctness of their interface specifications. Nonetheless, the correctness of an interface specification is a prerequisite for the use of the specification, both as a precise API documentation and as a foundation for formal verification of and reasoning about the implementation. We propose automated random testing as a practical tool to assure the correctness of interface specifications. The key idea of our approach is to fully automate dynamic, random testing to detect as many inconsistencies as possible between the specification and its implementation. For this, we use a runtime assertion checker as a test oracle, and the goal of our testing is to generate as many non-duplicate test cases as possible that incur a certain type of runtime assertion violations. Our approach has been implemented for Java/JML in a prototype tool called JET, and a preliminary experiment shows that it has potential to be a valuable testing tool for Java/JML. Our approach can be adapted for other interface specification languages.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Automatic error elimination by horizontal code transfer across multiple applications,Stelios Sidiroglou-Douskos; Eric Lahtinen; Fan Long; Martin Rinard,2015,,10.1145/2737924.2737988,https://openalex.org/W1975455521,,"We present Code Phage (CP), a system for automatically transferring correct code from donor applications into recipient applications that process the same inputs to successfully eliminate errors in the recipient. Experimental results using seven donor applications to eliminate ten errors in seven recipient applications highlight the ability of CP to transfer code across applications to eliminate out of bounds access, integer overflow, and divide by zero errors. Because CP works with binary donors with no need for source code or symbolic information, it supports a wide range of use cases. To the best of our knowledge, CP is the first system to automatically transfer code across multiple applications.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Automatic detection of Long Method and God Class code smells through neural source code embeddings,Aleksandar Kovačević; Јелена Сливка; Dragan Vidaković; Katarina-Glorija Grujić; Nikola Luburić; Simona Prokić; Goran Sladić,2022,Expert Systems with Applications,10.1016/j.eswa.2022.117607,https://openalex.org/W4280612166,,"Code smells are structures in code that often harm its quality. Manually detecting code smells is challenging, so researchers proposed many automatic detectors. Traditional code smell detectors employ metric-based heuristics, but researchers have recently adopted a Machine-Learning (ML) based approach. This paper compares the performance of multiple ML-based code smell detection models against multiple metric-based heuristics for detection of God Class and Long Method code smells. We assess the effectiveness of different source code representations for ML: we evaluate the effectiveness of traditionally used code metrics against code embeddings (code2vec, code2seq, and CuBERT). This study is the first to evaluate the effectiveness of pre-trained neural source code embeddings for code smell detection to the best of our knowledge. This approach helped us leverage the power of transfer learning – our study is the first to explore whether the knowledge mined from code understanding models can be transferred to code smell detection. A secondary contribution of our research is the systematic evaluation of the effectiveness of code smell detection approaches on the same large-scale, manually labeled MLCQ dataset. Almost every study that proposes a detection approach tests this approach on the dataset unique for the study. Consequently, we cannot directly compare the reported performances to derive the best-performing approach.","dblp, openalex, wos, scopus, ieee",human,,human,
kept,A Comparative Study of Software Bugs in Clone and Non-Clone Code,Judith F. Islam; Manishankar Mondal; Chanchal K. Roy; Kevin A. Schneider,2017,Proceedings/Proceedings of the ... International Conference on Software Engineering and Knowledge Engineering,10.18293/seke2017-056,https://openalex.org/W2743745531,supports; corroboration,"Code cloning is a recurrent operation in everyday software development. Whether it is a good or bad practice is an ongoing debate among researchers and developers for the last few decades. In this paper, we conduct a comparative study on bugproneness in clone code and non-clone code by analyzing commit logs. According to our inspection on thousands of revisions of seven diverse subject systems, the percentage of changed files due to bug-fix commits is significantly higher in clone code compared with non-clone code. We perform a Mann-Whitney-Wilcoxon (MWW) test to show the statistical significance of our findings. Finally, the possibility of severe bugs occurring is higher in clone code than in non-clone code. Bug-fixing changes affecting clone code should be considered more carefully. According to our findings, clone code appears to be more bug-prone than non-clone code.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Improving bug detection via context-based code representation learning and attention-based neural networks,Yi Li; Shaohua Wang; Tien N. Nguyen; Son Nguyen,2019,Proceedings of the ACM on Programming Languages,10.1145/3360588,https://openalex.org/W2979566992,,"Bug detection has been shown to be an effective way to help developers in detecting bugs early, thus, saving much effort and time in software development process. Recently, deep learning-based bug detection approaches have gained successes over the traditional machine learning-based approaches, the rule-based program analysis approaches, and mining-based approaches. However, they are still limited in detecting bugs that involve multiple methods and suffer high rate of false positives. In this paper, we propose a combination approach with the use of contexts and attention neural network to overcome those limitations. We propose to use as the global context the Program Dependence Graph (PDG) and Data Flow Graph (DFG) to connect the method under investigation with the other relevant methods that might contribute to the buggy code. The global context is complemented by the local context extracted from the path on the AST built from the method’s body. The use of PDG and DFG enables our model to reduce the false positive rate, while to complement for the potential reduction in recall, we make use of the attention neural network mechanism to put more weights on the buggy paths in the source code. That is, the paths that are similar to the buggy paths will be ranked higher, thus, improving the recall of our model. We have conducted several experiments to evaluate our approach on a very large dataset with +4.973M methods in 92 different project versions. The results show that our tool can have a relative improvement up to 160% on F-score when comparing with the state-of-the-art bug detection approaches. Our tool can detect 48 true bugs in the list of top 100 reported bugs, which is 24 more true bugs when comparing with the baseline approaches. We also reported that our representation is better suitable for bug detection and relatively improves over the other representations up to 206% in accuracy.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Disciplined Inconsistency with Consistency Types,Brandon Alexander Holt; James Bornholt; Irene Zhang; Dan R. K. Ports; Mark Oskin; Luís Ceze,2016,,10.1145/2987550.2987559,https://openalex.org/W2521191038,,"Distributed applications and web services, such as online stores or social networks, are expected to be scalable, available, responsive, and fault-tolerant. To meet these steep requirements in the face of high round-trip latencies, network partitions, server failures, and load spikes, applications use eventually consistent datastores that allow them to weaken the consistency of some data. However, making this transition is highly error-prone because relaxed consistency models are notoriously difficult to understand and test.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,A Novel Approach for Predicting the Probability of Inconsistent Changes to Code Clones Based LDA,Lili Yin; Liping Zhang; Min Hou; Dongsheng Liu,2014,,10.2991/ccit-14.2014.32,https://openalex.org/W2035217371,,"Inconsistent changes to code clones can create faults and, hence, lead to incorrect program behavior. Consequently, these clones increase the change effort when software is maintained. In order to improve software quality and to help programmers pre attention the hidden trouble of clone inconsistent changes. In this paper, Different from previous research, we predict the probability of inconsistent changes to clones based LDA. This paper expands the LDA (Latent Dirichlet Allocation) model application fields. The experiment on a large open source software system is presented. Experimental results show the feasibility of this technique.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,A Survey of Machine Learning for Big Code and Naturalness,Miltiadis Allamanis; Earl T. Barr; Prémkumar Dévanbu; Charles Sutton,2018,ACM Computing Surveys,10.1145/3212695,https://openalex.org/W2754629507,,"Research at the intersection of machine learning, programming languages, and software engineering has recently taken important steps in proposing learnable probabilistic models of source code that exploit the abundance of patterns of code. In this article, we survey this work. We contrast programming languages against natural languages and discuss how these similarities and differences drive the design of probabilistic models. We present a taxonomy based on the underlying design principles of each model and use it to navigate the literature. Then, we review how researchers have adapted these models to application areas and discuss cross-cutting and application-specific challenges and opportunities.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Amazon Employees Resources Access Data Extraction via Clonal Selection Algorithm and Logic Mining Approach,Nur Ezlin Zamri; Mohd. Asyraf Mansor; Mohd Shareduwan Mohd Kasihmuddin; Alyaa Alway; Siti Zulaikha Mohd Jamaludin; Shehab Abdulhabib Alzaeemi,2020,Entropy,10.3390/e22060596,https://openalex.org/W3031946898,,"Amazon.com Inc. seeks alternative ways to improve manual transactions system of granting employees resources access in the field of data science. The work constructs a modified Artificial Neural Network (ANN) by incorporating a Discrete Hopfield Neural Network (DHNN) and Clonal Selection Algorithm (CSA) with 3-Satisfiability (3-SAT) logic to initiate an Artificial Intelligence (AI) model that executes optimization tasks for industrial data. The selection of 3-SAT logic is vital in data mining to represent entries of Amazon Employees Resources Access (AERA) via information theory. The proposed model employs CSA to improve the learning phase of DHNN by capitalizing features of CSA such as hypermutation and cloning process. This resulting the formation of the proposed model, as an alternative machine learning model to identify factors that should be prioritized in the approval of employees resources applications. Subsequently, reverse analysis method (SATRA) is integrated into our proposed model to extract the relationship of AERA entries based on logical representation. The study will be presented by implementing simulated, benchmark and AERA data sets with multiple performance evaluation metrics. Based on the findings, the proposed model outperformed the other existing methods in AERA data extraction.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Similar Code Detection and Elimination for Erlang Programs,Huiqing Li; Simon Thompson,2010,Lecture notes in computer science,10.1007/978-3-642-11503-5_10,https://openalex.org/W1600465065,,,"dblp, openalex, wos, scopus, ieee",human,,human,
pending,Focusing Automatic Code Inspections,Cathal Boogerd,2010,Research Repository (Delft University of Technology),,https://openalex.org/W1600318815,,"Automatic Code Inspection tools help developers in early detection of defects in software. A well-known drawback of many automatic inspection approaches is that they yield too many warnings and require a clearer focus. In this thesis, we provide such focus by proposing two methods to prioritize inspection results, based on the execution likelihood and the historical fault likelihood of warnings. We describe both methods in detail, and evaluate them on various open-source and industry projects.","dblp, openalex, wos, scopus, ieee",human,,human,
